Date,Wordle Number,Answer,Weekday,Month,Day,Year,Ends with Y,Has repeated letters,Starts with vowel,Ends with vowel,Num vowels,Num consonants,Has rare letter,Contains common suffix,All unique letters,P1,P2,P3,P4,P5,Contains common prefix,Word Frequency,Scrabble score,Frequency category,Top row letters,Mid row letters,Bottom row letters,Is palindrome
Nov 09 2025,1604,FUGUE,Sunday,November,09,2025,0,1,0,1,3,2,0,0,0,F,U,G,U,E,0,5.37e-07,9,rare,3,2,0,0
Nov 08 2025,1603,ARISE,Saturday,November,08,2025,0,0,1,1,3,2,0,0,1,A,R,I,S,E,0,8.51e-06,5,uncommon,3,2,0,0
Nov 07 2025,1602,PERIL,Friday,November,07,2025,0,0,0,0,2,3,0,0,1,P,E,R,I,L,0,2.51e-06,7,uncommon,4,1,0,0
Nov 06 2025,1601,GUISE,Thursday,November,06,2025,0,0,0,1,3,2,0,0,1,G,U,I,S,E,0,2.95e-06,6,uncommon,3,2,0,0
Nov 05 2025,1600,SHORT,Wednesday,November,05,2025,0,0,0,0,1,4,0,0,1,S,H,O,R,T,0,0.000214,8,common,3,2,0,0
Nov 04 2025,1599,VENUE,Tuesday,November,04,2025,0,1,0,1,3,2,0,0,0,V,E,N,U,E,0,1.78e-05,8,uncommon,3,0,2,0
Nov 03 2025,1598,AWOKE,Monday,November,03,2025,0,0,1,1,3,2,0,0,1,A,W,O,K,E,0,1.41e-06,12,uncommon,3,2,0,0
Nov 02 2025,1597,RABID,Sunday,November,02,2025,0,0,0,0,2,3,0,0,1,R,A,B,I,D,0,1.35e-06,8,uncommon,2,2,1,0
Nov 01 2025,1596,MOTEL,Saturday,November,01,2025,0,0,0,0,2,3,0,0,1,M,O,T,E,L,0,4.07e-06,7,uncommon,3,1,1,0
Oct 31 2025,1595,ABHOR,Friday,October,31,2025,0,0,1,0,2,3,0,0,1,A,B,H,O,R,0,4.37e-07,10,rare,2,2,1,0
Oct 30 2025,1594,LATHE,Thursday,October,30,2025,0,0,0,1,2,3,0,0,1,L,A,T,H,E,0,8.13e-07,8,rare,2,3,0,0
Oct 29 2025,1593,GLARE,Wednesday,October,29,2025,0,0,0,1,2,3,0,0,1,G,L,A,R,E,0,2.29e-06,6,uncommon,2,3,0,0
Oct 28 2025,1592,HOLLY,Tuesday,October,28,2025,1,1,0,0,1,4,0,1,0,H,O,L,L,Y,0,7.59e-06,11,uncommon,2,3,0,0
Oct 27 2025,1591,FETID,Monday,October,27,2025,0,0,0,0,2,3,0,0,1,F,E,T,I,D,0,1.95e-07,9,rare,3,2,0,0
Oct 26 2025,1590,PLUMP,Sunday,October,26,2025,0,1,0,0,1,4,0,0,0,P,L,U,M,P,0,1.55e-06,11,uncommon,3,1,1,0
Oct 25 2025,1589,GAUGE,Saturday,October,25,2025,0,1,0,1,3,2,0,0,0,G,A,U,G,E,0,1.05e-05,7,uncommon,2,3,0,0
Oct 24 2025,1588,TUBER,Friday,October,24,2025,0,0,0,0,2,3,0,1,1,T,U,B,E,R,0,4.37e-07,7,rare,4,0,1,0
Oct 23 2025,1587,DRILL,Thursday,October,23,2025,0,1,0,0,1,4,0,0,0,D,R,I,L,L,0,1.23e-05,6,uncommon,2,3,0,0
Oct 22 2025,1586,STUNT,Wednesday,October,22,2025,0,1,0,0,1,4,0,1,0,S,T,U,N,T,0,7.24e-06,5,uncommon,3,1,1,0
Oct 21 2025,1585,DETOX,Tuesday,October,21,2025,0,0,0,0,2,3,1,0,1,D,E,T,O,X,1,1.95e-06,13,uncommon,3,1,1,0
Oct 20 2025,1584,LIMBO,Monday,October,20,2025,0,0,0,1,2,3,0,0,1,L,I,M,B,O,0,2.04e-06,9,uncommon,2,1,2,0
Oct 19 2025,1583,IDEAL,Sunday,October,19,2025,0,0,1,0,3,2,0,0,1,I,D,E,A,L,0,2.75e-05,6,uncommon,2,3,0,0
Oct 18 2025,1582,HAVEN,Saturday,October,18,2025,0,0,0,0,2,3,0,0,1,H,A,V,E,N,0,1.35e-05,11,uncommon,1,2,2,0
Oct 17 2025,1581,GROSS,Friday,October,17,2025,0,1,0,0,1,4,0,0,0,G,R,O,S,S,0,2.82e-05,6,uncommon,2,3,0,0
Oct 16 2025,1580,CATTY,Thursday,October,16,2025,1,1,0,0,1,4,0,0,0,C,A,T,T,Y,0,3.63e-07,10,rare,3,1,1,0
Oct 15 2025,1579,SPOOF,Wednesday,October,15,2025,0,1,0,0,2,3,0,0,0,S,P,O,O,F,0,1.26e-06,10,uncommon,3,2,0,0
Oct 14 2025,1578,FORUM,Tuesday,October,14,2025,0,0,0,0,2,3,0,0,1,F,O,R,U,M,0,2.4e-05,10,uncommon,3,1,1,0
Oct 13 2025,1577,BEARD,Monday,October,13,2025,0,0,0,0,2,3,0,0,1,B,E,A,R,D,1,1.17e-05,8,uncommon,2,2,1,0
Oct 12 2025,1576,WOUND,Sunday,October,12,2025,0,0,0,0,2,3,0,0,1,W,O,U,N,D,0,1.74e-05,9,uncommon,3,1,1,0
Oct 11 2025,1575,STACK,Saturday,October,11,2025,0,0,0,0,1,4,0,0,1,S,T,A,C,K,0,1.12e-05,11,uncommon,1,3,1,0
Oct 10 2025,1574,LEVER,Friday,October,10,2025,0,1,0,0,2,3,0,1,0,L,E,V,E,R,0,4.37e-06,8,uncommon,3,1,1,0
Oct 09 2025,1573,HARDY,Thursday,October,09,2025,1,0,0,0,1,4,0,0,1,H,A,R,D,Y,0,7.24e-06,12,uncommon,2,3,0,0
Oct 08 2025,1572,ANNOY,Wednesday,October,08,2025,1,1,1,0,2,3,0,0,0,A,N,N,O,Y,0,2.88e-06,8,uncommon,2,1,2,0
Oct 07 2025,1571,NYLON,Tuesday,October,07,2025,0,1,0,0,1,4,0,0,0,N,Y,L,O,N,0,2.63e-06,8,uncommon,2,1,2,0
Oct 06 2025,1570,AMUSE,Monday,October,06,2025,0,0,1,1,3,2,0,0,1,A,M,U,S,E,0,1.32e-06,7,uncommon,2,2,1,0
